week,day_id,day,mainMuscle,exercise,substitutionOption1,substitutionOption2,notes,repsWorkingSet1,minRestMinutes,maxRestMinutes,minWarmUpSets,maxWarmUpSets,workingSets,minRPE,maxRPE,repsWorkingSet2,repsWorkingSet3,minReps,maxReps,timeSeconds,amrap,hold
1,2,Pull #1,Back,A1. Bottom-Half DB Lat Pullover,Cable Lat Pullover,1-Arm Lat Pull-In,"Do DB lat pullovers, but cut out the top half of the ROM (stay entirely in the stretched aspect of the lift)",,0,0,1,1,2,9,10,,,10,12,,FALSE,FALSE
1,2,Pull #1,Back,A2. Lat Static Stretch 30s,,,Hold a lat stretch for 30 seconds. The stretch should be held at about a 7/10 intensity.,,0,0,0,0,2,,,,,,,30,FALSE,TRUE
1,2,Pull #1,Rear delts,Omni-Direction Face Pull,Reverse Cable Flye,Bent-Over Reverse DB Flye,"1st set: low-to-high
2nd set: mid-range
3rd set: high-to-low",,1,2,1,1,3,9,10,,,12,15,,FALSE,FALSE
1,2,Pull #1,Biceps,EZ-Bar Curl,DB Curl,Cable Curl,"Focus on contracting your biceps, minimize torso momentum",,1,2,1,1,3,9,10,,,6,8,,FALSE,FALSE
1,2,Pull #1,Biceps,Bottom-Half Preacher Curl,Bottom-Half Spider Curl,Bottom-Half Bayesian Curl,"Do preacher curls, but cut out the top half of the ROM (stay entirely in the stretched aspect of the lift)",,1,2,0,0,2,10,10,,,10,12,,FALSE,FALSE
1,3,Legs #1,Quads,Squat,Hack Squat,DB Bulgarian Split Squat,"Sit back and down, keep your upper back tight to the bar",,3,4,3,4,1,8,9,,,2,4,,FALSE,FALSE
1,3,Legs #1,Quads,Pause Squat (Back off),Pause Hack Squat,Pause DB Bulgarian Split Squat," Drop the weight by ~25% from your top set. 2 second pause. Sit back and down, keep your upper back tight to the bar",,3,4,0,0,2,8,9,,,5,5,,FALSE,FALSE
1,3,Legs #1,Hamstrings,Barbell RDL,DB RDL,45° Hyperextension,"Maintain a neutral lower back, set your hips back, don't allow your spine to round",,2,3,2,2,3,8,9,,,8,10,,FALSE,FALSE
1,3,Legs #1,Quads,Walking Lunge,DB Step-Up,Goblet Squat,"Take medium strides, minimize the amount you push off your rear leg",,2,3,1,1,2,8,9,,,10,10,,FALSE,FALSE
1,3,Legs #1,Hamstrings,Seated Leg Curl,Lying Leg Curl,Nordic Ham Curl,Focus on squeezing your hamstrings to move the weight,,1,2,1,1,3,9,10,,,10,12,,FALSE,FALSE
1,3,Legs #1,Calves,Leg Press Toe Press,Seated Calf Raise,Standing Calf Raise,"Press all the way up to your toes, stretch your calves at the bottom, don't bounce",,1,2,1,1,4,9,10,,,10,12,,FALSE,FALSE
1,3,Legs #1,Abs,Decline Plate-Weighted Crunch,Cable Crunch,Machine Crunch,Hold a plate or DB to your chest and crunch hard!,,1,2,1,1,3,9,10,,,10,12,,FALSE,FALSE
1,4,Push #2,Pectorals,Close-Grip Barbell Incline Press,Close-Grip DB Incline Press,Close-Grip Machine Press,Use ~45° incline and a grip width just outside shoulder width,8,3,4,2,3,3,8,9,5,12,,,,FALSE,FALSE
1,4,Push #2,Shoulders,Machine Shoulder Press,Seated DB Shoulder Press,Standing DB Arnold Press,"Don't stop in between reps, keep smooth and controlled tension on the delts",,2,3,2,2,3,8,9,,,10,12,,FALSE,FALSE
1,4,Push #2,Triceps,Floor Skull Crusher (Heavy),DB Floor Skull Crusher,Overhead Cable Triceps Extension,"Arc the bar behind your head, allow the bar to come to a dead stop on the floor between reps",,1,2,1,1,3,8,9,,,6,8,,FALSE,FALSE
1,4,Push #2,Pectorals,Bent-Over Cable Pec Flye,Pec Deck,DB Flye,Squeeze your pecs together at the top and feel a big stretch at the bottom,,1,2,1,1,3,9,10,,,10,12,,FALSE,FALSE
1,4,Push #2,Shoulders,"Eccentric-Accentuated Cable Lateral Raise, Constant-Tension Cable Lateral Raise",DB Lateral Raise,Machine Lateral Raise,"First 5 reps: 5-second lowering phase, last 15 reps constant tension (no pausing at the bottom or top)",,1,2,1,1,3,9,10,,,,,,FALSE,FALSE
1,4,Push #2,Shoulders,Plate Front Raise,DB Front Raise,Cable Front Raise,Turn one side up like a steering wheel as you lift the plate,,1,2,1,1,2,9,10,,,15,20,,FALSE,FALSE
1,4,Push #2,Biceps,Diamond Push Up,Close-Grip Push Up,Kneeling Modified Push Up,Place your hands close together on the ground so that they form a diamond shape and do as many pushups as possible with a smooth tempo,,0,0,0,0,1,10,10,,,,,,TRUE,FALSE
1,5,Pull #2,Back,1-Arm Half-Kneeling Lat Pulldown,1-Arm Lat Pull-In,Cable Lat Pullover,"Keep chest tall, keep elbow tucked in close to your torso, focus on squeezing your lat to move the weight",,1,2,1,1,3,8,9,,,12,15,,FALSE,FALSE
1,5,Pull #2,Back,Pull-Up (1 AMRAP set),"Lat Pulldown
(8-15 rep AMRAP)",Machine Pulldown,"1.5x shoulder width grip, pull your chest to the bar",,2,3,2,2,1,10,10,,,,,,TRUE,FALSE
1,5,Pull #2,Back,Kroc Row,Single-Arm DB Row,Meadows Row,Kroc rows are basically just a dumbbell row with mild cheating and a slightly more upright posture. Don't be afraid to go heavy and use straps if your grip is limiting,,2,3,2,2,3,8,9,,,10,12,,FALSE,FALSE
1,5,Pull #2,Traps,Cable Shrug-In,DB Shrug,Plate Shrug,Set up two cable handles low and shrug up and in. Squeeze your upper traps to move the weight.,,1,2,1,1,3,9,10,,,10,12,,FALSE,FALSE
1,5,Pull #2,Rear delts,Reverse Pec Deck,Reverse Cable Flye,Bent-Over Reverse DB Flye,"Swing the weight ""out"", not ""back""",,1,2,1,1,3,9,10,,,10,12,,FALSE,FALSE
1,5,Pull #2,Biceps,N1-Style Cross-Body Cable Bicep Curl,DB Incline Curl,DB Curl,Curl across your body with your arm out to the side at ~60°,,1,2,1,1,3,9,10,,,10,12,,FALSE,FALSE
1,6,Legs #2,Hamstrings,Deadlift,Trap Bar Deadlift,Barbell Hip Thrust,"Brace your lats, chest tall, pull the slack out of the bar before lifting",,3,5,3,4,1,8,9,,,5,5,,FALSE,FALSE
1,6,Legs #2,Hamstrings,Stiff-Leg Deadlift,Barbell RDL,DB RDL,Think about doing a high-hip conventional deadlift with a slight bend in the knees,,3,4,0,0,2,8,9,,,8,8,,FALSE,FALSE
1,6,Legs #2,Quads,Leg Press,Goblet Squat,Walking Lunge,"Medium width feet placement on the platform, don't allow your lower back to round",,2,3,2,3,4,8,9,,,10,12,,FALSE,FALSE
1,6,Legs #2,Glutes,Glute Ham Raise,Nordic Ham Curl,Lying Leg Curl,"Keep your hips straight, do Nordic ham curls if no GHR machine",,1,2,1,1,3,9,10,,,8,10,,FALSE,FALSE
1,6,Legs #2,Quads,Slow-Eccentric Leg Extension,DB Step-Up,Goblet Squat,Control the weight with a 3-4 second negative,,1,2,1,1,3,9,10,,,8,10,,FALSE,FALSE
1,6,Legs #2,Calves,Seated Calf Raise,Standing Calf Raise,Leg Press Toe Press,"Press all the way up to your toes, stretch your calves at the bottom, don't bounce",,1,2,1,1,4,9,10,,,15,20,,FALSE,FALSE
1,6,Legs #2,Abs,Roman Chair Leg Raise,Hanging Leg Raise,Reverse Crunch,"Don't swing your legs at the bottom, minimize momentum, tuck your knees towards your chest if lifting your legs straight out is too challenging",,1,2,1,1,3,9,10,,,10,20,,FALSE,FALSE
2,7,Push #1,Pectorals,Bench Press,DB Bench Press,Machine Chest Press,"Set up a comfortable arch, quick pause on the chest and explode up on each rep",,3,4,3,4,1,8,9,,,3,5,,FALSE,FALSE
2,7,Push #1,Pectorals,Larsen Press,"DB Bench Press 
(No Leg Drive)","Machine Chest Press 
(No Leg Drive)",Shoulder blades still retracted and depressed. Slight arch in upper back. Zero leg drive.,,3,4,0,0,2,8,9,,,10,10,,FALSE,FALSE
2,7,Push #1,Shoulders,Standing Dumbbell Arnold Press,Seated DB Shoulder Press,Machine Shoulder Press,Start with your elbows in front of you and palms facing in. Rotate the dumbbells so that your palms face forward as you press.,,2,3,2,2,3,8,9,,,8,10,,FALSE,FALSE
2,7,Push #1,Pectorals,A1. Press-Around,DB Flye,Deficit Push Up,"Brace with your non-working arm, squeeze your pecs by pressing the cable across your body",,0,0,1,1,2,9,10,,,12,15,,FALSE,FALSE
2,7,Push #1,Pectorals,A2. Pec Static Stretch 30s,,,Hold a pec stretch for 30 seconds. The stretch should be held at about a 7/10 intensity.,,0,0,0,0,2,,,,,,,30,FALSE,TRUE
2,7,Push #1,Shoulders,Cross-Body Cable Y-Raise (Side Delt),DB Lateral Raise,Machine Lateral Raise,"Think about swinging the cable out and up as if ""drawing a sword"" from your side",,1,2,1,1,3,9,10,,,12,15,,FALSE,FALSE
2,7,Push #1,Triceps,Squeeze-Only Triceps Pressdown + Stretch-Only Overhead Triceps Extension,"Triceps Pressdown
(12-15 reps)","DB Skull Crusher
(12-15 reps)","Do the second half of the ROM for pressdowns (""the squeeze"") and the first half of the ROM for overhead extensions (""the stretch"")",,1,2,1,1,3,9,10,,,,,,FALSE,FALSE
2,7,Push #1,Triceps,N1-Style Cross-Body Triceps Extension,Single-Arm Tricep Pressdown,Single-Arm Cable Tricep Kickback,Extend your triceps with your arm more out to the side than a regular pressdown. Feel the stretch as the cable moves across your torso,,1,2,0,0,2,10,10,,,10,12,,FALSE,FALSE
2,8,Pull #1,Back,Lat Pulldown (Feeder Sets),Machine Pulldown,Pull-Up,Do 4 feeder sets of 10 reps by gradually building the weight up from set to set. Set 1 is pretty light (RPE 4-5). Set 2 is a little heavier (RPE 6-7). Set 3 is a little heavier again (RPE 7-8). Set 4 is your hard set: try to hit failure at 10 reps on this last set.,,2,3,0,0,4,,,,,10,10,,FALSE,FALSE
2,8,Pull #1,Back,Lat Pulldown (Failure Set),Machine Pulldown,Pull-Up,"After hitting failure at ~10 reps, do a dropset. Strip the weight back ~30-50% and do another 5 reps with nice and controlled technique",,2,3,0,0,1,10,10,,,,,,FALSE,FALSE
2,8,Pull #1,Back,Omni-Grip Machine Chest-Supported Row,Incline Chest-Supported DB Row,Cable Seated Row,Use 3 different grips for the 3 working sets (ideally going from wider to closer),,2,3,2,2,3,8,9,,,10,12,,FALSE,FALSE
2,8,Pull #1,Back,A1. Bottom-Half DB Lat Pullover,Cable Lat Pullover,1-Arm Lat Pull-In,"Do DB lat pullovers, but cut out the top half of the ROM (stay entirely in the stretched aspect of the lift)",,0,0,1,1,2,9,10,,,10,12,,FALSE,FALSE
2,8,Pull #1,Back,A2. Lat Static Stretch 30s,,,Hold a lat stretch for 30 seconds. The stretch should be held at about a 7/10 intensity.,,0,0,0,0,2,,,,,,,30,FALSE,TRUE
2,8,Pull #1,Rear delts,Omni-Direction Face Pull,Reverse Cable Flye,Bent-Over Reverse DB Flye,"1st set: low-to-high
2nd set: mid-range
3rd set: high-to-low",,1,2,1,1,3,9,10,,,12,15,,FALSE,FALSE
2,8,Pull #1,Biceps,EZ-Bar Curl,DB Curl,Cable Curl,"Focus on contracting your biceps, minimize torso momentum",,1,2,1,1,3,9,10,,,6,8,,FALSE,FALSE
2,8,Pull #1,Biceps,Bottom-Half Preacher Curl,Bottom-Half Spider Curl,Bottom-Half Bayesian Curl,"Do preacher curls, but cut out the top half of the ROM (stay entirely in the stretched aspect of the lift)",,1,2,0,0,2,10,10,,,10,12,,FALSE,FALSE
2,9,Legs #1,Quads,Squat,Hack Squat,DB Bulgarian Split Squat,"Sit back and down, keep your upper back tight to the bar",,3,4,3,4,1,8,9,,,3,5,,FALSE,FALSE
2,9,Legs #1,Quads,Pause Squat (Back off),Pause Hack Squat,Pause DB Bulgarian Split Squat," Drop the weight by ~25% from your top set. 2 second pause. Sit back and down, keep your upper back tight to the bar",,3,4,0,0,2,8,9,,,5,5,,FALSE,FALSE
2,9,Legs #1,Hamstrings,Barbell RDL,DB RDL,45° Hyperextension,"Maintain a neutral lower back, set your hips back, don't allow your spine to round",,2,3,2,2,3,8,9,,,8,10,,FALSE,FALSE
2,9,Legs #1,Quads,Walking Lunge,DB Step-Up,Goblet Squat,"Take medium strides, minimize the amount you push off your rear leg",,2,3,1,1,2,8,9,,,10,10,,FALSE,FALSE
2,9,Legs #1,Hamstrings,Seated Leg Curl,Lying Leg Curl,Nordic Ham Curl,Focus on squeezing your hamstrings to move the weight,,1,2,1,1,3,9,10,,,10,12,,FALSE,FALSE
2,9,Legs #1,Calves,Leg Press Toe Press,Seated Calf Raise,Standing Calf Raise,"Press all the way up to your toes, stretch your calves at the bottom, don't bounce",,1,2,1,1,4,9,10,,,10,12,,FALSE,FALSE
2,9,Legs #1,Abs,Decline Plate-Weighted Crunch,Cable Crunch,Machine Crunch,Hold a plate or DB to your chest and crunch hard!,,1,2,1,1,3,9,10,,,10,12,,FALSE,FALSE
2,10,Push #2,Pectorals,Close-Grip Barbell Incline Press,Close-Grip DB Incline Press,Close-Grip Machine Press,Use ~45° incline and a grip width just outside shoulder width,8,3,4,2,3,3,8,9,5,12,,,,FALSE,FALSE
2,10,Push #2,Shoulders,Machine Shoulder Press,Seated DB Shoulder Press,Standing DB Arnold Press,"Don't stop in between reps, keep smooth and controlled tension on the delts",,2,3,2,2,3,8,9,,,10,12,,FALSE,FALSE
2,10,Push #2,Triceps,Floor Skull Crusher (Heavy),DB Floor Skull Crusher,Overhead Cable Triceps Extension,"Arc the bar behind your head, allow the bar to come to a dead stop on the floor between reps",,1,2,1,1,3,8,9,,,6,8,,FALSE,FALSE
2,10,Push #2,Pectorals,Bent-Over Cable Pec Flye,Pec Deck,DB Flye,Squeeze your pecs together at the top and feel a big stretch at the bottom,,1,2,1,1,3,9,10,,,10,12,,FALSE,FALSE
2,10,Push #2,Shoulders,"Eccentric-Accentuated Cable Lateral Raise, Constant-Tension Cable Lateral Raise",DB Lateral Raise,Machine Lateral Raise,"First 5 reps: 5-second lowering phase, last 15 reps constant tension (no pausing at the bottom or top)",,1,2,1,1,3,9,10,,,,,,FALSE,FALSE
2,10,Push #2,Shoulders,Plate Front Raise,DB Front Raise,Cable Front Raise,Turn one side up like a steering wheel as you lift the plate,,1,2,1,1,2,9,10,,,15,20,,FALSE,FALSE
2,10,Push #2,Biceps,Diamond Push Up,Close-Grip Push Up,Kneeling Modified Push Up,Place your hands close together on the ground so that they form a diamond shape and do as many pushups as possible with a smooth tempo,,0,0,0,0,1,10,10,,,,,,TRUE,FALSE
2,11,Pull #2,Back,1-Arm Half-Kneeling Lat Pulldown,1-Arm Lat Pull-In,Cable Lat Pullover,"Keep chest tall, keep elbow tucked in close to your torso, focus on squeezing your lat to move the weight",,1,2,1,1,3,8,9,,,12,15,,FALSE,FALSE
2,11,Pull #2,Back,Pull-Up (1 AMRAP set),"Lat Pulldown
(8-15 rep AMRAP)",Machine Pulldown,"1.5x shoulder width grip, pull your chest to the bar",,2,3,2,2,1,10,10,,,,,,TRUE,FALSE
2,11,Pull #2,Back,Kroc Row,Single-Arm DB Row,Meadows Row,Kroc rows are basically just a dumbbell row with mild cheating and a slightly more upright posture. Don't be afraid to go heavy and use straps if your grip is limiting,,2,3,2,2,3,8,9,,,10,12,,FALSE,FALSE
2,11,Pull #2,Traps,Cable Shrug-In,DB Shrug,Plate Shrug,Set up two cable handles low and shrug up and in. Squeeze your upper traps to move the weight.,,1,2,1,1,3,9,10,,,10,12,,FALSE,FALSE
2,11,Pull #2,Rear delts,Reverse Pec Deck,Reverse Cable Flye,Bent-Over Reverse DB Flye,"Swing the weight ""out"", not ""back""",,1,2,1,1,3,9,10,,,10,12,,FALSE,FALSE
2,11,Pull #2,Biceps,N1-Style Cross-Body Cable Bicep Curl,DB Incline Curl,DB Curl,Curl across your body with your arm out to the side at ~60°,,1,2,1,1,3,9,10,,,10,12,,FALSE,FALSE
2,12,Legs #2,Hamstrings,Deadlift,Trap Bar Deadlift,Barbell Hip Thrust,"Brace your lats, chest tall, pull the slack out of the bar before lifting",,3,5,3,4,1,8,9,,,4,4,,FALSE,FALSE
2,12,Legs #2,Hamstrings,Stiff-Leg Deadlift,Barbell RDL,DB RDL,Think about doing a high-hip conventional deadlift with a slight bend in the knees,,3,4,0,0,2,8,9,,,8,8,,FALSE,FALSE
2,12,Legs #2,Quads,Leg Press,Goblet Squat,Walking Lunge,"Medium width feet placement on the platform, don't allow your lower back to round",,2,3,2,3,4,8,9,,,10,12,,FALSE,FALSE
2,12,Legs #2,Glutes,Glute Ham Raise,Nordic Ham Curl,Lying Leg Curl,"Keep your hips straight, do Nordic ham curls if no GHR machine",,1,2,1,1,3,9,10,,,8,10,,FALSE,FALSE
2,12,Legs #2,Quads,Slow-Eccentric Leg Extension,DB Step-Up,Goblet Squat,Control the weight with a 3-4 second negative,,1,2,1,1,3,9,10,,,8,10,,FALSE,FALSE
2,12,Legs #2,Calves,Seated Calf Raise,Standing Calf Raise,Leg Press Toe Press,"Press all the way up to your toes, stretch your calves at the bottom, don't bounce",,1,2,1,1,4,9,10,,,15,20,,FALSE,FALSE
2,12,Legs #2,Abs,Roman Chair Leg Raise,Hanging Leg Raise,Reverse Crunch,"Don't swing your legs at the bottom, minimize momentum, tuck your knees towards your chest if lifting your legs straight out is too challenging",,1,2,1,1,3,9,10,,,10,20,,FALSE,FALSE
3,13,Push #1,Pectorals,Bench Press,DB Bench Press,Machine Chest Press,"Set up a comfortable arch, quick pause on the chest and explode up on each rep",,3,4,3,4,1,8,9,,,2,4,,FALSE,FALSE
3,13,Push #1,Pectorals,Larsen Press,"DB Bench Press 
(No Leg Drive)","Machine Chest Press 
(No Leg Drive)",Shoulder blades still retracted and depressed. Slight arch in upper back. Zero leg drive.,,3,4,0,0,2,8,9,,,10,10,,FALSE,FALSE
3,13,Push #1,Shoulders,Standing Dumbbell Arnold Press,Seated DB Shoulder Press,Machine Shoulder Press,Start with your elbows in front of you and palms facing in. Rotate the dumbbells so that your palms face forward as you press.,,2,3,2,2,3,8,9,,,8,10,,FALSE,FALSE
3,13,Push #1,Pectorals,A1. Press-Around,DB Flye,Deficit Push Up,"Brace with your non-working arm, squeeze your pecs by pressing the cable across your body",,0,0,1,1,2,9,10,,,12,15,,FALSE,FALSE
3,13,Push #1,Pectorals,A2. Pec Static Stretch 30s,,,Hold a pec stretch for 30 seconds. The stretch should be held at about a 7/10 intensity.,,0,0,0,0,2,,,,,,,30,FALSE,TRUE
3,13,Push #1,Shoulders,Cross-Body Cable Y-Raise (Side Delt),DB Lateral Raise,Machine Lateral Raise,"Think about swinging the cable out and up as if ""drawing a sword"" from your side",,1,2,1,1,3,9,10,,,12,15,,FALSE,FALSE
3,13,Push #1,Triceps,Squeeze-Only Triceps Pressdown + Stretch-Only Overhead Triceps Extension,"Triceps Pressdown
(12-15 reps)","DB Skull Crusher
(12-15 reps)","Do the second half of the ROM for pressdowns (""the squeeze"") and the first half of the ROM for overhead extensions (""the stretch"")",,1,2,1,1,3,9,10,,,,,,FALSE,FALSE
3,13,Push #1,Triceps,N1-Style Cross-Body Triceps Extension,Single-Arm Tricep Pressdown,Single-Arm Cable Tricep Kickback,Extend your triceps with your arm more out to the side than a regular pressdown. Feel the stretch as the cable moves across your torso,,1,2,0,0,2,10,10,,,10,12,,FALSE,FALSE
3,14,Pull #1,Back,Lat Pulldown (Feeder Sets),Machine Pulldown,Pull-Up,Do 4 feeder sets of 10 reps by gradually building the weight up from set to set. Set 1 is pretty light (RPE 4-5). Set 2 is a little heavier (RPE 6-7). Set 3 is a little heavier again (RPE 7-8). Set 4 is your hard set: try to hit failure at 10 reps on this last set.,,2,3,0,0,4,,,,,10,10,,FALSE,FALSE
3,14,Pull #1,Back,Lat Pulldown (Failure Set),Machine Pulldown,Pull-Up,"After hitting failure at ~10 reps, do a dropset. Strip the weight back ~30-50% and do another 5 reps with nice and controlled technique",,2,3,0,0,1,10,10,,,,,,FALSE,FALSE
3,14,Pull #1,Back,Omni-Grip Machine Chest-Supported Row,Incline Chest-Supported DB Row,Cable Seated Row,Use 3 different grips for the 3 working sets (ideally going from wider to closer),,2,3,2,2,3,8,9,,,10,12,,FALSE,FALSE
3,14,Pull #1,Back,A1. Bottom-Half DB Lat Pullover,Cable Lat Pullover,1-Arm Lat Pull-In,"Do DB lat pullovers, but cut out the top half of the ROM (stay entirely in the stretched aspect of the lift)",,0,0,1,1,2,9,10,,,10,12,,FALSE,FALSE
3,14,Pull #1,Back,A2. Lat Static Stretch 30s,,,Hold a lat stretch for 30 seconds. The stretch should be held at about a 7/10 intensity.,,0,0,0,0,2,,,,,,,30,FALSE,TRUE
3,14,Pull #1,Rear delts,Omni-Direction Face Pull,Reverse Cable Flye,Bent-Over Reverse DB Flye,"1st set: low-to-high
2nd set: mid-range
3rd set: high-to-low",,1,2,1,1,3,9,10,,,12,15,,FALSE,FALSE
3,14,Pull #1,Biceps,EZ-Bar Curl,DB Curl,Cable Curl,"Focus on contracting your biceps, minimize torso momentum",,1,2,1,1,3,9,10,,,6,8,,FALSE,FALSE
3,14,Pull #1,Biceps,Bottom-Half Preacher Curl,Bottom-Half Spider Curl,Bottom-Half Bayesian Curl,"Do preacher curls, but cut out the top half of the ROM (stay entirely in the stretched aspect of the lift)",,1,2,0,0,2,10,10,,,10,12,,FALSE,FALSE
3,15,Legs #1,Quads,Squat,Hack Squat,DB Bulgarian Split Squat,"Sit back and down, keep your upper back tight to the bar",,3,4,3,4,1,8,9,,,4,6,,FALSE,FALSE
3,15,Legs #1,Quads,Pause Squat (Back off),Pause Hack Squat,Pause DB Bulgarian Split Squat,"Drop the weight by ~25% from your top set. 2 second pause. Sit back and down, keep your upper back tight to the bar",,3,4,0,0,2,8,9,,,5,5,,FALSE,FALSE
3,15,Legs #1,Hamstrings,Barbell RDL,DB RDL,45° Hyperextension,"Maintain a neutral lower back, set your hips back, don't allow your spine to round",,2,3,2,2,3,8,9,,,8,10,,FALSE,FALSE
3,15,Legs #1,Quads,Walking Lunge,DB Step-Up,Goblet Squat,"Take medium strides, minimize the amount you push off your rear leg",,2,3,1,1,2,8,9,,,10,10,,FALSE,FALSE
3,15,Legs #1,Hamstrings,Seated Leg Curl,Lying Leg Curl,Nordic Ham Curl,Focus on squeezing your hamstrings to move the weight,,1,2,1,1,3,9,10,,,10,12,,FALSE,FALSE
3,15,Legs #1,Calves,Leg Press Toe Press,Seated Calf Raise,Standing Calf Raise,"Press all the way up to your toes, stretch your calves at the bottom, don't bounce",,1,2,1,1,4,9,10,,,10,12,,FALSE,FALSE
3,15,Legs #1,Abs,Decline Plate-Weighted Crunch,Cable Crunch,Machine Crunch,Hold a plate or DB to your chest and crunch hard!,,1,2,1,1,3,9,10,,,10,12,,FALSE,FALSE
3,16,Push #2,Pectorals,Close-Grip Barbell Incline Press,Close-Grip DB Incline Press,Close-Grip Machine Press,Use ~45° incline and a grip width just outside shoulder width,8,3,4,2,3,3,8,9,5,12,,,,FALSE,FALSE
3,16,Push #2,Shoulders,Machine Shoulder Press,Seated DB Shoulder Press,Standing DB Arnold Press,"Don't stop in between reps, keep smooth and controlled tension on the delts",,2,3,2,2,3,8,9,,,10,12,,FALSE,FALSE
3,16,Push #2,Triceps,Floor Skull Crusher (Heavy),DB Floor Skull Crusher,Overhead Cable Triceps Extension,"Arc the bar behind your head, allow the bar to come to a dead stop on the floor between reps",,1,2,1,1,3,8,9,,,6,8,,FALSE,FALSE
3,16,Push #2,Pectorals,Bent-Over Cable Pec Flye,Pec Deck,DB Flye,Squeeze your pecs together at the top and feel a big stretch at the bottom,,1,2,1,1,3,9,10,,,10,12,,FALSE,FALSE
3,16,Push #2,Shoulders,"Eccentric-Accentuated Cable Lateral Raise, Constant-Tension Cable Lateral Raise",DB Lateral Raise,Machine Lateral Raise,"First 5 reps: 5-second lowering phase, last 15 reps constant tension (no pausing at the bottom or top)",,1,2,1,1,3,9,10,,,,,,FALSE,FALSE
3,16,Push #2,Shoulders,Plate Front Raise,DB Front Raise,Cable Front Raise,Turn one side up like a steering wheel as you lift the plate,,1,2,1,1,2,9,10,,,15,20,,FALSE,FALSE
3,16,Push #2,Biceps,Diamond Push Up,Close-Grip Push Up,Kneeling Modified Push Up,Place your hands close together on the ground so that they form a diamond shape and do as many pushups as possible with a smooth tempo,,0,0,0,0,1,10,10,,,,,,TRUE,FALSE
3,17,Pull #2,Back,1-Arm Half-Kneeling Lat Pulldown,1-Arm Lat Pull-In,Cable Lat Pullover,"Keep chest tall, keep elbow tucked in close to your torso, focus on squeezing your lat to move the weight",,1,2,1,1,3,8,9,,,12,15,,FALSE,FALSE
3,17,Pull #2,Back,Pull-Up (1 AMRAP set),"Lat Pulldown
(8-15 rep AMRAP)",Machine Pulldown,"1.5x shoulder width grip, pull your chest to the bar",,2,3,2,2,1,10,10,,,,,,TRUE,FALSE
